victim.orgsize,action,actor,victim.region,victim.industry.name,attribute,incident,IDnum
large,misuse,internal,lac,management,i,F,2130
large,malware,external,emea,accommodation,i,T,2131
large,social,external,na,information,a,F,2132
unknown,misuse,external,apac,otherservices,a,F,2133
large,social,external,lac,administrative,i,F,2134
unknown,error,internal,apac,professional,c,T,2135
small,malware,external,emea,agriculture,c,F,2136
unknown,hacking,external,na,construction,i,F,2137
large,hacking,external,na,healthcare,i,T,2138
unknown,social,internal,lac,accommodation,i,F,2139
large,error,internal,na,public,i,F,2140
small,error,internal,na,realestate,c,T,2141
small,hacking,external,lac,agriculture,a,F,2142
unknown,misuse,partner,lac,management,a,F,2143
unknown,error,internal,lac,agriculture,i,F,2144
small,hacking,external,na,healthcare,c,T,2145
unknown,hacking,external,apac,construction,c,F,2146
small,malware,external,apac,public,i,T,2147
unknown,malware,partner,lac,entertainment,c,F,2148
unknown,social,external,apac,finance,i,T,2149
unknown,hacking,external,emea,healthcare,c,T,2150
small,hacking,external,na,educational,c,T,2151
small,misuse,internal,lac,manufacturing,a,F,2152
large,error,internal,na,finance,c,T,2153
small,error,internal,na,healthcare,c,T,2154
small,hacking,partner,emea,finance,c,F,2155
large,error,internal,emea,public,c,T,2156
large,hacking,external,na,transportation,c,T,2157
small,error,external,na,administrative,a,F,2158
small,misuse,internal,na,healthcare,c,T,2159
large,hacking,partner,emea,finance,i,F,2160
small,hacking,external,na,information,c,T,2161
small,social,internal,na,accommodation,c,F,2162
large,hacking,partner,na,public,a,F,2163
unknown,malware,external,na,healthcare,c,F,2164
large,misuse,external,lac,manufacturing,a,F,2165
large,social,partner,na,accommodation,c,F,2166
large,hacking,external,apac,professional,c,T,2167
unknown,misuse,external,emea,finance,i,F,2168
unknown,malware,external,lac,realestate,i,F,2169
unknown,misuse,internal,na,healthcare,c,T,2170
small,error,internal,na,finance,c,T,2171
small,error,internal,na,healthcare,c,T,2172
unknown,error,external,lac,public,c,F,2173
large,misuse,internal,na,retail,c,T,2174
unknown,error,internal,emea,information,c,T,2175
large,malware,partner,na,public,a,F,2176
unknown,error,internal,na,finance,c,T,2177
unknown,hacking,external,apac,healthcare,c,T,2178
large,misuse,internal,apac,public,c,F,2179
unknown,error,internal,emea,healthcare,c,T,2180
large,misuse,internal,emea,healthcare,c,T,2181
small,hacking,external,na,professional,c,T,2182
large,misuse,internal,na,healthcare,c,T,2183
large,unknown,external,na,finance,c,T,2184
unknown,misuse,external,lac,entertainment,c,F,2185
unknown,malware,external,apac,mining,c,F,2186
small,misuse,external,apac,finance,c,F,2187
large,malware,internal,apac,management,i,F,2188
small,hacking,external,emea,transportation,c,T,2189
small,hacking,external,emea,information,i,T,2190
unknown,misuse,external,apac,agriculture,c,F,2191
small,error,external,lac,finance,c,F,2192
unknown,social,partner,lac,information,c,F,2193
unknown,error,partner,na,agriculture,c,F,2194
small,unknown,external,na,retail,i,T,2195
small,hacking,external,lac,public,a,F,2196
small,social,internal,apac,otherservices,i,F,2197
large,misuse,external,apac,trade,i,F,2198
small,hacking,external,apac,public,c,T,2199
large,social,partner,na,otherservices,a,F,2200
large,malware,internal,lac,public,i,F,2201
small,error,partner,na,utilities,i,F,2202
large,misuse,external,lac,mining,c,F,2203
small,misuse,internal,apac,retail,c,T,2204
large,hacking,partner,na,professional,a,F,2205
small,misuse,internal,emea,mining,c,F,2206
small,social,external,lac,retail,a,F,2207
small,hacking,partner,lac,healthcare,c,F,2208
large,social,internal,apac,accommodation,c,F,2209
small,social,external,emea,construction,c,F,2210
large,hacking,external,na,professional,c,T,2211
small,error,internal,na,information,c,T,2212
large,unknown,external,na,healthcare,c,T,2213
unknown,social,internal,emea,public,c,F,2214
small,malware,external,na,healthcare,i,T,2215
large,misuse,internal,emea,finance,c,T,2216
small,hacking,external,na,information,c,T,2217
large,error,external,emea,manufacturing,a,F,2218
small,error,internal,na,accommodation,c,T,2219
small,social,external,na,management,a,F,2220
small,hacking,internal,emea,information,a,F,2221
unknown,hacking,external,apac,educational,c,F,2222
small,misuse,external,emea,professional,c,T,2223
small,error,internal,emea,healthcare,c,T,2224
small,error,external,na,otherservices,c,F,2225
large,misuse,internal,na,healthcare,c,T,2226
small,hacking,external,na,information,c,T,2227
small,misuse,external,na,accommodation,c,F,2228
small,hacking,external,na,transportation,a,F,2229
small,misuse,internal,na,public,i,T,2230
unknown,misuse,internal,na,healthcare,c,T,2231
small,hacking,external,emea,information,i,T,2232
small,social,partner,lac,healthcare,a,F,2233
large,error,internal,apac,management,i,F,2234
small,hacking,external,na,administrative,c,T,2235
large,social,external,na,educational,i,T,2236
unknown,malware,partner,apac,construction,a,F,2237
large,error,internal,apac,manufacturing,c,T,2238
large,error,internal,na,information,c,T,2239
small,error,internal,na,entertainment,c,T,2240
small,error,partner,na,realestate,c,F,2241
large,error,internal,apac,finance,c,T,2242
unknown,malware,partner,lac,finance,a,F,2243
small,misuse,internal,na,healthcare,c,T,2244
large,misuse,partner,lac,utilities,i,F,2245
small,malware,partner,na,educational,i,F,2246
small,error,internal,na,unknown,c,T,2247
small,unknown,external,na,retail,i,T,2248
large,misuse,partner,na,retail,i,F,2249
large,misuse,internal,na,accommodation,i,T,2250
small,error,internal,apac,information,c,T,2251
large,error,internal,na,educational,c,T,2252
large,malware,external,lac,finance,i,T,2253
small,hacking,external,apac,professional,c,F,2254
small,social,external,na,finance,i,T,2255
small,hacking,external,apac,information,c,T,2256
large,social,external,apac,realestate,c,F,2257
small,malware,external,na,realestate,i,T,2258
large,misuse,internal,na,healthcare,c,T,2259
large,misuse,internal,na,trade,c,T,2260
small,misuse,internal,na,healthcare,c,T,2261
large,error,external,na,transportation,c,T,2262
small,misuse,partner,emea,management,c,F,2263
unknown,misuse,internal,na,healthcare,c,T,2264
small,misuse,internal,na,public,i,F,2265
large,malware,internal,lac,construction,c,F,2266
small,error,internal,emea,utilities,i,F,2267
large,error,partner,emea,professional,c,T,2268
small,hacking,external,na,information,c,T,2269
unknown,misuse,internal,apac,transportation,c,F,2270
unknown,unknown,internal,na,healthcare,c,T,2271
large,misuse,external,lac,professional,a,F,2272
large,error,partner,emea,public,i,F,2273
small,error,partner,emea,mining,i,F,2274
large,error,internal,apac,otherservices,c,T,2275
unknown,error,internal,apac,construction,i,F,2276
large,misuse,partner,lac,retail,i,F,2277
large,malware,external,na,retail,i,T,2278
small,misuse,internal,na,healthcare,c,T,2279
large,hacking,external,apac,educational,c,T,2280
small,error,internal,emea,healthcare,c,T,2281
small,hacking,external,lac,mining,c,F,2282
unknown,error,partner,na,construction,i,F,2283
small,hacking,external,apac,accommodation,i,T,2284
small,hacking,external,na,healthcare,c,T,2285
small,social,partner,emea,administrative,i,F,2286
small,unknown,external,emea,public,c,T,2287
small,error,partner,na,educational,c,T,2288
small,hacking,external,emea,otherservices,c,T,2289
small,error,internal,emea,public,c,T,2290
large,hacking,partner,na,information,i,F,2291
large,hacking,partner,lac,accommodation,c,F,2292
small,hacking,external,emea,healthcare,c,T,2293
unknown,error,internal,lac,construction,a,F,2294
large,social,external,na,transportation,i,T,2295
small,error,internal,emea,information,c,T,2296
small,error,partner,emea,transportation,c,F,2297
large,malware,external,na,retail,i,T,2298
unknown,social,external,na,information,i,F,2299
small,social,external,apac,entertainment,i,T,2300
small,misuse,internal,emea,information,c,T,2301
small,misuse,internal,na,construction,i,T,2302
small,hacking,external,na,entertainment,c,T,2303
small,social,external,na,educational,i,T,2304
small,error,internal,na,information,c,T,2305
unknown,misuse,internal,na,healthcare,c,T,2306
unknown,social,external,na,educational,i,T,2307
unknown,misuse,internal,na,healthcare,c,T,2308
unknown,error,external,lac,educational,a,F,2309
small,misuse,internal,emea,public,c,T,2310
large,error,partner,emea,trade,a,F,2311
large,error,internal,na,healthcare,c,T,2312
large,social,external,na,healthcare,i,T,2313
small,error,internal,na,healthcare,i,F,2314
unknown,hacking,external,apac,management,a,F,2315
large,misuse,internal,na,entertainment,i,T,2316
large,hacking,external,na,finance,c,T,2317
small,hacking,external,apac,educational,c,T,2318
small,error,internal,na,information,c,T,2319
large,misuse,internal,lac,finance,c,F,2320
small,malware,partner,lac,manufacturing,i,F,2321
small,hacking,partner,lac,transportation,a,F,2322
large,social,internal,na,mining,c,F,2323
small,unknown,external,na,finance,i,T,2324
small,misuse,internal,na,healthcare,c,T,2325
large,unknown,external,na,retail,c,T,2326
unknown,social,external,lac,manufacturing,a,F,2327
small,malware,partner,na,trade,c,F,2328
unknown,malware,external,na,information,i,T,2329
unknown,social,internal,apac,realestate,a,F,2330
large,malware,internal,apac,mining,c,F,2331
small,hacking,external,na,information,c,T,2332
small,social,internal,lac,entertainment,c,F,2333
large,social,external,na,healthcare,i,T,2334
unknown,hacking,external,emea,administrative,c,T,2335
unknown,hacking,external,apac,information,c,T,2336
large,hacking,external,na,accommodation,i,F,2337
small,error,internal,emea,utilities,a,F,2338
unknown,hacking,partner,emea,educational,c,F,2339
small,misuse,internal,emea,realestate,a,F,2340
unknown,error,internal,apac,educational,c,T,2341
unknown,hacking,external,na,information,c,T,2342
large,malware,partner,lac,agriculture,i,F,2343
large,hacking,partner,na,administrative,c,F,2344
small,error,partner,emea,finance,c,F,2345
large,malware,partner,na,healthcare,i,F,2346
large,unknown,unknown,apac,educational,c,T,2347
small,misuse,internal,na,healthcare,c,T,2348
small,misuse,internal,lac,trade,c,F,2349
large,misuse,internal,emea,healthcare,c,T,2350
unknown,error,internal,apac,transportation,c,F,2351
unknown,social,partner,na,utilities,c,F,2352
small,misuse,external,emea,administrative,i,F,2353
unknown,malware,partner,lac,management,a,F,2354
small,malware,partner,lac,construction,a,F,2355
small,hacking,external,na,information,c,T,2356
unknown,error,external,na,educational,a,F,2357
unknown,error,partner,lac,information,a,F,2358
unknown,error,internal,global,healthcare,c,T,2359
unknown,hacking,internal,lac,retail,a,F,2360
large,hacking,internal,lac,mining,i,F,2361
small,hacking,external,na,professional,c,T,2362
small,misuse,internal,apac,professional,i,F,2363
large,error,external,na,administrative,c,F,2364
large,misuse,internal,na,healthcare,c,T,2365
unknown,hacking,external,na,utilities,i,F,2366
large,malware,internal,apac,educational,c,F,2367
small,error,partner,na,construction,c,F,2368
large,social,external,na,healthcare,i,T,2369
large,hacking,external,na,entertainment,c,T,2370
large,hacking,partner,lac,information,c,F,2371
large,social,external,na,educational,i,T,2372
small,error,internal,na,administrative,c,T,2373
unknown,misuse,external,lac,educational,a,F,2374
unknown,misuse,external,apac,educational,i,F,2375
large,error,partner,na,otherservices,c,T,2376
unknown,error,internal,emea,manufacturing,i,F,2377
large,malware,internal,na,construction,i,F,2378
large,error,internal,na,retail,c,T,2379
large,error,external,emea,agriculture,i,F,2380
large,error,partner,apac,public,c,T,2381
large,hacking,external,apac,public,c,T,2382
small,hacking,external,na,information,c,T,2383
unknown,malware,external,lac,healthcare,a,F,2384
small,hacking,partner,na,management,i,F,2385
large,hacking,partner,lac,realestate,a,F,2386
small,error,internal,apac,public,c,T,2387
large,unknown,external,na,retail,i,T,2388
large,malware,internal,na,healthcare,c,F,2389
large,hacking,partner,lac,entertainment,a,F,2390
small,malware,internal,emea,retail,i,F,2391
small,hacking,external,na,retail,a,F,2392
large,error,internal,emea,public,c,T,2393
small,misuse,internal,apac,retail,i,F,2394
small,misuse,partner,emea,mining,i,F,2395
unknown,misuse,internal,apac,retail,c,T,2396
small,hacking,external,emea,professional,c,T,2397
small,hacking,external,na,healthcare,c,T,2398
large,error,partner,na,healthcare,c,T,2399
large,hacking,external,emea,management,a,F,2400
unknown,misuse,external,na,utilities,a,F,2401
unknown,unknown,external,na,healthcare,c,T,2402
unknown,malware,internal,apac,manufacturing,c,F,2403
unknown,social,internal,apac,retail,a,F,2404
small,hacking,external,emea,finance,c,T,2405
small,error,external,apac,entertainment,i,F,2406
large,malware,external,emea,administrative,i,T,2407
large,misuse,internal,na,finance,c,T,2408
large,error,internal,lac,retail,c,T,2409
unknown,hacking,external,apac,educational,c,T,2410
small,error,internal,na,otherservices,c,T,2411
small,error,internal,emea,healthcare,c,T,2412
small,misuse,external,apac,healthcare,a,F,2413
small,malware,internal,na,utilities,c,F,2414
large,error,partner,apac,finance,a,F,2415
large,error,partner,emea,accommodation,c,F,2416
unknown,social,partner,na,public,c,F,2417
small,social,internal,apac,retail,a,F,2418
large,hacking,external,apac,management,c,F,2419
large,unknown,external,apac,realestate,c,T,2420
small,malware,external,na,finance,i,F,2421
large,hacking,external,na,information,c,T,2422
small,misuse,external,lac,construction,i,F,2423
unknown,malware,partner,na,public,a,F,2424
unknown,malware,external,na,healthcare,i,T,2425
small,error,internal,na,information,c,T,2426
small,hacking,external,na,information,c,T,2427
large,misuse,external,na,trade,a,F,2428
small,error,internal,na,information,c,T,2429
large,hacking,external,na,professional,c,T,2430
unknown,social,partner,na,otherservices,i,F,2431
small,error,internal,na,information,c,T,2432
small,hacking,external,emea,entertainment,c,T,2433
unknown,error,internal,apac,healthcare,c,T,2434
large,misuse,external,emea,realestate,a,F,2435
small,malware,partner,na,finance,a,F,2436
large,hacking,internal,na,public,c,T,2437
unknown,misuse,external,emea,manufacturing,a,F,2438
small,error,internal,na,educational,c,T,2439
large,hacking,external,na,healthcare,c,T,2440
unknown,social,external,na,educational,i,F,2441
small,error,partner,apac,manufacturing,a,F,2442
unknown,social,partner,na,retail,i,F,2443
small,malware,external,na,healthcare,i,T,2444
small,malware,internal,lac,healthcare,c,F,2445
unknown,malware,partner,apac,transportation,c,F,2446
large,error,partner,na,healthcare,c,T,2447
small,unknown,external,na,finance,i,T,2448
unknown,malware,partner,emea,otherservices,i,F,2449
large,malware,external,apac,finance,i,T,2450
unknown,misuse,internal,lac,information,a,F,2451
small,error,internal,emea,agriculture,i,F,2452
large,malware,internal,lac,healthcare,c,F,2453
small,error,internal,emea,educational,c,T,2454
small,social,external,emea,mining,i,F,2455
unknown,social,internal,na,otherservices,a,F,2456
small,unknown,external,na,realestate,c,T,2457
unknown,social,external,na,healthcare,i,T,2458
unknown,misuse,external,emea,utilities,c,F,2459
unknown,hacking,internal,na,trade,i,F,2460
unknown,error,internal,emea,public,c,T,2461
large,error,internal,apac,information,a,F,2462
large,social,internal,na,trade,a,F,2463
large,social,internal,apac,administrative,a,F,2464
large,misuse,internal,na,construction,c,T,2465
small,misuse,internal,emea,public,c,T,2466
large,hacking,partner,emea,healthcare,i,F,2467
small,error,internal,emea,construction,i,F,2468
large,malware,external,na,healthcare,i,T,2469
small,hacking,external,lac,transportation,c,T,2470
unknown,malware,external,na,entertainment,i,F,2471
unknown,social,internal,emea,administrative,i,F,2472
unknown,error,internal,apac,accommodation,a,F,2473
unknown,error,internal,emea,healthcare,c,T,2474
unknown,error,internal,lac,public,c,T,2475
unknown,unknown,external,na,retail,i,T,2476
small,hacking,external,na,professional,c,T,2477
small,misuse,external,emea,management,c,F,2478
small,error,internal,na,educational,c,T,2479
unknown,error,internal,emea,healthcare,c,T,2480
large,malware,partner,lac,healthcare,a,F,2481
unknown,malware,external,na,entertainment,i,T,2482
large,misuse,partner,lac,entertainment,c,F,2483
unknown,misuse,internal,na,agriculture,c,F,2484
unknown,malware,internal,na,retail,c,F,2485
large,misuse,internal,na,manufacturing,i,T,2486
unknown,error,partner,lac,trade,i,F,2487
large,error,partner,lac,retail,a,F,2488
large,hacking,partner,apac,entertainment,a,F,2489
unknown,hacking,external,lac,retail,i,F,2490
large,malware,external,na,retail,i,T,2491
unknown,misuse,internal,global,public,c,T,2492
unknown,misuse,external,apac,transportation,i,F,2493
small,misuse,internal,lac,accommodation,c,F,2494
unknown,malware,external,na,mining,i,F,2495
unknown,misuse,internal,na,healthcare,c,T,2496
small,unknown,internal,na,public,c,T,2497
small,hacking,external,na,retail,c,T,2498
large,social,external,apac,public,i,T,2499
small,social,internal,apac,entertainment,i,F,2500
large,hacking,external,na,healthcare,c,T,2501
unknown,malware,external,apac,accommodation,a,F,2502
unknown,social,external,na,agriculture,i,F,2503
large,hacking,partner,emea,manufacturing,a,F,2504
small,malware,external,na,healthcare,i,T,2505
unknown,social,external,na,accommodation,c,F,2506
large,hacking,external,na,mining,c,F,2507
unknown,error,internal,global,public,c,T,2508
unknown,social,external,emea,trade,c,F,2509
large,misuse,internal,emea,healthcare,c,T,2510
unknown,error,partner,na,healthcare,c,T,2511
unknown,misuse,partner,lac,professional,c,F,2512
large,hacking,external,emea,transportation,c,T,2513
large,malware,external,emea,professional,i,T,2514
small,malware,external,na,information,i,T,2515
small,error,internal,na,accommodation,a,F,2516
small,unknown,internal,na,retail,i,T,2517
unknown,social,external,emea,mining,c,F,2518
small,hacking,external,na,healthcare,c,T,2519
unknown,error,external,apac,otherservices,a,F,2520
large,hacking,external,apac,retail,c,T,2521
small,hacking,external,na,information,c,T,2522
small,misuse,internal,na,healthcare,i,T,2523
small,error,internal,na,manufacturing,c,T,2524
large,hacking,external,lac,mining,c,F,2525
unknown,malware,external,emea,trade,a,F,2526
large,error,internal,lac,manufacturing,c,T,2527
small,misuse,internal,apac,professional,c,F,2528
small,hacking,internal,emea,educational,c,F,2529
small,malware,external,apac,administrative,i,T,2530
unknown,hacking,external,apac,professional,c,T,2531
small,malware,external,na,professional,i,T,2532
small,hacking,external,apac,otherservices,c,T,2533
unknown,hacking,internal,apac,otherservices,a,F,2534
large,malware,external,lac,realestate,c,F,2535
small,error,internal,na,public,c,T,2536
small,error,partner,emea,entertainment,i,F,2537
small,misuse,external,emea,educational,c,F,2538
small,error,internal,na,healthcare,c,T,2539
unknown,misuse,partner,emea,mining,i,F,2540
small,error,internal,na,transportation,c,T,2541
unknown,hacking,internal,emea,educational,i,F,2542
large,malware,external,apac,public,c,F,2543
large,misuse,internal,emea,manufacturing,a,F,2544
small,social,partner,lac,realestate,a,F,2545
large,error,external,emea,retail,a,F,2546
small,unknown,external,na,retail,i,T,2547
unknown,social,internal,emea,finance,a,F,2548
large,malware,external,na,utilities,a,F,2549
large,misuse,internal,na,trade,c,T,2550
unknown,unknown,unknown,apac,healthcare,c,T,2551
large,hacking,external,emea,trade,i,T,2552
unknown,error,internal,na,professional,c,T,2553
unknown,misuse,internal,apac,management,c,F,2554
large,misuse,partner,na,healthcare,c,T,2555
small,hacking,internal,na,finance,i,F,2556
large,error,internal,na,public,c,T,2557
small,hacking,partner,lac,realestate,c,F,2558
large,misuse,partner,apac,accommodation,i,F,2559
small,social,external,na,healthcare,i,T,2560
unknown,error,partner,lac,utilities,i,F,2561
unknown,malware,internal,emea,manufacturing,a,F,2562
small,hacking,internal,na,agriculture,a,F,2563
small,misuse,internal,apac,public,c,T,2564
large,malware,external,na,healthcare,i,T,2565
unknown,error,internal,apac,public,c,T,2566
large,hacking,external,na,professional,i,T,2567
large,unknown,external,na,public,c,T,2568
small,error,internal,na,public,c,T,2569
unknown,malware,internal,apac,management,i,F,2570
small,malware,external,na,finance,a,F,2571
unknown,malware,external,na,otherservices,i,T,2572
small,error,internal,na,finance,c,T,2573
small,hacking,external,na,healthcare,i,T,2574
small,hacking,external,na,healthcare,c,T,2575
large,error,internal,na,finance,c,T,2576
unknown,social,external,apac,accommodation,c,F,2577
large,error,partner,emea,educational,i,F,2578
large,malware,external,na,healthcare,i,T,2579
unknown,hacking,external,emea,utilities,a,F,2580
small,hacking,external,emea,public,a,F,2581
unknown,error,external,lac,accommodation,i,F,2582
unknown,misuse,partner,na,public,c,T,2583
large,hacking,external,emea,public,c,T,2584
large,error,internal,emea,public,c,T,2585
large,malware,external,apac,utilities,i,F,2586
large,hacking,partner,emea,realestate,c,F,2587
small,error,internal,apac,educational,i,T,2588
unknown,hacking,internal,lac,agriculture,c,F,2589
unknown,hacking,external,lac,public,c,T,2590
small,social,external,lac,educational,i,F,2591
small,unknown,internal,na,public,c,T,2592
large,social,partner,emea,administrative,i,F,2593
small,social,external,na,otherservices,i,F,2594
large,hacking,external,na,healthcare,c,T,2595
large,misuse,internal,emea,finance,c,T,2596
large,misuse,internal,emea,finance,c,T,2597
large,hacking,external,lac,entertainment,a,F,2598
unknown,hacking,internal,lac,trade,c,F,2599
small,error,internal,na,information,c,T,2600
small,misuse,partner,lac,retail,i,F,2601
unknown,misuse,partner,lac,finance,a,F,2602
large,social,external,na,retail,i,F,2603
large,malware,partner,na,entertainment,i,F,2604
large,unknown,external,na,finance,c,T,2605
unknown,social,internal,lac,realestate,c,F,2606
unknown,hacking,external,na,information,c,T,2607
unknown,social,external,lac,professional,c,F,2608
unknown,malware,partner,emea,agriculture,i,F,2609
large,error,internal,emea,otherservices,c,T,2610
unknown,error,internal,na,public,c,T,2611
small,error,external,na,information,c,T,2612
unknown,malware,partner,apac,professional,c,F,2613
small,social,external,lac,public,a,F,2614
large,error,internal,emea,professional,c,T,2615
unknown,hacking,external,global,information,i,T,2616
small,error,external,na,administrative,i,F,2617
unknown,error,internal,na,healthcare,c,T,2618
small,malware,internal,apac,trade,c,F,2619
large,hacking,external,na,administrative,c,T,2620
unknown,error,external,emea,information,i,F,2621
large,social,external,apac,administrative,a,F,2622
small,error,internal,na,healthcare,c,T,2623
small,hacking,external,na,professional,c,T,2624
small,malware,external,emea,information,i,T,2625
large,error,internal,na,healthcare,c,T,2626
small,misuse,internal,apac,professional,c,T,2627
small,error,partner,lac,accommodation,c,F,2628
small,hacking,external,emea,transportation,c,T,2629
small,social,external,lac,information,i,F,2630
large,misuse,internal,na,accommodation,c,T,2631
small,hacking,external,na,healthcare,c,T,2632
large,hacking,internal,lac,administrative,i,F,2633
unknown,error,internal,apac,professional,c,T,2634
small,malware,internal,lac,administrative,i,F,2635
large,malware,external,apac,transportation,c,F,2636
unknown,misuse,internal,na,public,c,T,2637
unknown,misuse,internal,emea,accommodation,i,T,2638
small,error,internal,na,finance,c,T,2639
small,error,internal,na,healthcare,c,T,2640
large,hacking,external,na,educational,c,T,2641
large,error,internal,apac,public,c,T,2642
small,misuse,partner,na,retail,a,F,2643
small,misuse,external,na,information,c,T,2644
small,error,internal,na,information,c,T,2645
small,social,external,emea,healthcare,c,F,2646
unknown,misuse,internal,lac,transportation,i,F,2647
small,social,external,na,healthcare,i,T,2648
unknown,malware,internal,emea,agriculture,i,F,2649
large,error,internal,na,finance,c,F,2650
large,error,internal,na,finance,c,T,2651
large,social,partner,lac,information,c,F,2652
unknown,error,external,lac,entertainment,a,F,2653
small,misuse,external,lac,realestate,c,F,2654
unknown,malware,external,na,finance,a,F,2655
unknown,error,internal,emea,retail,c,F,2656
unknown,hacking,internal,apac,administrative,c,F,2657
small,unknown,external,na,information,c,T,2658
unknown,error,external,lac,accommodation,a,F,2659
unknown,misuse,partner,apac,professional,c,F,2660
unknown,misuse,internal,na,healthcare,c,T,2661
small,social,internal,emea,manufacturing,c,F,2662
unknown,misuse,external,emea,professional,i,F,2663
unknown,malware,external,apac,finance,i,F,2664
large,hacking,partner,apac,retail,a,F,2665
unknown,social,partner,emea,construction,i,F,2666
small,unknown,internal,na,accommodation,i,T,2667
large,error,partner,na,healthcare,c,T,2668
large,error,internal,na,public,c,T,2669
large,social,partner,lac,administrative,a,F,2670
unknown,malware,partner,apac,administrative,c,F,2671
small,error,internal,na,professional,c,T,2672
unknown,hacking,internal,apac,realestate,i,F,2673
large,misuse,internal,na,transportation,c,T,2674
unknown,social,external,lac,entertainment,c,F,2675
unknown,malware,internal,emea,mining,c,F,2676
unknown,malware,internal,lac,administrative,a,F,2677
large,malware,internal,lac,educational,a,F,2678
large,error,internal,na,healthcare,c,T,2679
small,hacking,external,emea,information,c,T,2680
small,error,internal,emea,transportation,c,T,2681
large,social,external,na,healthcare,i,T,2682
large,error,external,lac,trade,i,F,2683
large,error,partner,emea,administrative,c,F,2684
unknown,hacking,internal,lac,agriculture,a,F,2685
small,malware,external,na,retail,i,T,2686
small,social,external,na,retail,i,T,2687
unknown,error,internal,apac,entertainment,a,F,2688
unknown,error,internal,apac,finance,c,T,2689
large,hacking,internal,na,entertainment,c,F,2690
small,error,internal,apac,educational,c,T,2691
large,unknown,external,na,trade,i,T,2692
unknown,error,internal,na,administrative,c,T,2693
unknown,malware,partner,emea,construction,c,F,2694
small,hacking,external,lac,transportation,a,F,2695
small,malware,partner,lac,professional,c,F,2696
unknown,hacking,external,emea,public,c,T,2697
unknown,social,external,apac,information,i,T,2698
small,social,external,apac,entertainment,i,F,2699
unknown,social,partner,na,retail,a,F,2700
small,hacking,external,na,public,c,T,2701
large,malware,partner,apac,otherservices,i,F,2702
unknown,misuse,internal,lac,accommodation,i,F,2703
small,hacking,partner,na,realestate,a,F,2704
large,social,partner,lac,trade,c,F,2705
small,error,partner,na,entertainment,a,F,2706
small,malware,partner,apac,transportation,i,F,2707
large,misuse,partner,lac,transportation,i,F,2708
large,misuse,internal,na,information,c,T,2709
small,misuse,partner,apac,construction,c,F,2710
large,error,internal,apac,finance,c,T,2711
unknown,malware,external,emea,educational,a,F,2712
large,misuse,partner,lac,professional,a,F,2713
large,error,internal,apac,information,c,T,2714
unknown,error,partner,na,transportation,i,F,2715
large,hacking,external,lac,accommodation,a,F,2716
large,hacking,external,apac,information,c,T,2717
large,hacking,external,na,healthcare,c,T,2718
small,misuse,internal,apac,information,i,F,2719
large,social,internal,emea,construction,c,F,2720
small,misuse,internal,na,retail,i,T,2721
large,error,internal,na,information,c,T,2722
small,misuse,internal,na,professional,i,F,2723
large,error,partner,apac,management,a,F,2724
small,hacking,external,na,healthcare,c,T,2725
small,malware,partner,na,information,i,F,2726
large,social,internal,apac,retail,a,F,2727
large,error,internal,lac,finance,c,T,2728
unknown,error,partner,lac,entertainment,i,F,2729
unknown,hacking,external,apac,healthcare,a,F,2730
small,error,partner,emea,retail,a,F,2731
large,error,external,na,finance,i,F,2732
small,error,partner,emea,utilities,i,F,2733
large,error,internal,apac,public,c,T,2734
unknown,social,partner,apac,retail,c,F,2735
small,malware,external,lac,otherservices,a,F,2736
small,malware,internal,apac,construction,a,F,2737
small,error,partner,na,healthcare,c,T,2738
small,hacking,external,na,information,c,T,2739
large,error,internal,emea,public,c,T,2740
large,error,internal,emea,trade,c,T,2741
small,hacking,external,na,information,c,T,2742
unknown,social,partner,emea,accommodation,a,F,2743
small,hacking,external,global,information,c,T,2744
large,misuse,internal,na,healthcare,c,T,2745
large,misuse,external,emea,manufacturing,i,F,2746
large,error,internal,na,healthcare,c,T,2747
large,error,internal,na,finance,c,T,2748
large,social,partner,lac,professional,i,F,2749
large,misuse,external,na,administrative,c,F,2750
small,hacking,partner,lac,educational,a,F,2751
unknown,misuse,internal,na,unknown,c,T,2752
large,error,partner,na,finance,c,T,2753
small,error,partner,emea,healthcare,c,T,2754
small,hacking,internal,na,educational,c,F,2755
unknown,hacking,internal,lac,otherservices,a,F,2756
large,hacking,external,apac,realestate,a,F,2757
small,misuse,partner,emea,retail,a,F,2758
unknown,error,external,na,mining,a,F,2759
unknown,error,internal,na,healthcare,c,T,2760
unknown,social,partner,apac,mining,c,F,2761
large,social,external,apac,entertainment,i,F,2762
small,hacking,external,emea,information,c,T,2763
unknown,hacking,external,lac,utilities,c,F,2764
large,hacking,external,apac,trade,c,T,2765
unknown,malware,partner,lac,agriculture,i,F,2766
large,hacking,external,na,healthcare,c,T,2767
small,error,internal,na,public,c,T,2768
large,unknown,external,na,healthcare,c,T,2769
small,hacking,external,na,information,c,T,2770
large,error,internal,emea,public,c,T,2771
small,error,external,apac,administrative,c,T,2772
small,social,external,na,information,c,F,2773
large,social,external,na,management,a,F,2774
small,error,internal,na,healthcare,c,T,2775
small,misuse,internal,na,healthcare,c,T,2776
large,error,external,emea,public,a,F,2777
small,malware,external,na,information,i,T,2778
large,misuse,partner,apac,administrative,c,T,2779
unknown,error,partner,emea,utilities,c,F,2780
small,hacking,external,na,professional,c,T,2781
unknown,misuse,external,emea,realestate,c,F,2782
